,Company,Farm,Adult_female_lice_Average_per_fish,date
121,Scottish Salmon Company Ltd,Meall Mhor,Farm fallowed in Mar.,01/03/2019
122,Scottish Salmon Company Ltd,Quarry Point,2.03,01/03/2019
123,Scottish Salmon Company Ltd,Rubha Stillaig,0.25,01/03/2019
124,Scottish Salmon Company Ltd,Strondoir Bay,2.57,01/03/2019
125,Scottish Salmon Company Ltd,Tarbert South,2.55,01/03/2019
126,Scottish Salmon Company Ltd,Ardcastle Bay,0.95,01/05/2019
127,Scottish Salmon Company Ltd,Ardgadden,1.93,01/05/2019
128,Scottish Salmon Company Ltd,Glenan Bay,0.23,01/05/2019
129,Scottish Salmon Company Ltd,Gob a Bharra,0.22,01/05/2019
130,Scottish Salmon Company Ltd,Meall Mhor,Fallow,01/05/2019
131,Scottish Salmon Company Ltd,Quarry Point,Farm fallowed in May,01/05/2019
132,Scottish Salmon Company Ltd,Rubha Stillaig,0.22,01/05/2019
133,Scottish Salmon Company Ltd,Strondoir Bay,Fallow,01/05/2019
134,Scottish Salmon Company Ltd,Tarbert South,1.3,01/05/2019
