FS0698,Quarry Point,The Scottish Salmon Company,FB0169,19.95,Physical,,2.94,,,2.32,Bath,,2.85,Physical,,2.7,,,2.8,,,no count,,,2.93,,,2.58,,,2.72,,,3,,,10.29,Physical,,5.17,,,5.96,,,14.57,Harvesting,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0818,Ardcastle Bay,The Scottish Salmon Company,FB0169,7.13,,,9.68,Bath,,2.8,Bath,,7.85,Physical,,7.92,Bath,,2.7,,,2.7,,,2.96,,,3.12,,,3.3,,,7.95,,,13.4,Physical,,6.97,,,4.61,,,10.06,,,2.05,Physical,,6.31,Harvesting,,2.86,,,8.68,Physical,,7.6,,,4.32,Physical,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0839,Geasgill,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,,,4.57,Physical,,0.82,Physical,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1010,East Tarbert Bay,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,,2.82,Physical,,5.98,,,<3,,,,,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1019,Strondoir Bay,The Scottish Salmon Company,FB0169,2.95,,,2.82,Bath,,2.94,Bath,,2.42,Physical,,2.1,,,no count,,,no count,,,2.4,,,no count,,,2.65,,,<3,,,<3,,,<3,,,<3,,,,,,3,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1255,North Uiskevagh,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,Physical,,8.96,Physical,,2.21,,,6.5,,,6.27,Cleanerfish,,7.6,Physical,,2.61,Physical,,2.61,,,1.79,,,0.88,,,3.23,,,2.6,,,,,,,,,,,,<3,,,>3<8,Physical,,<3,Physical,,<3,,,,,,>3<8,Harvesting,,>3<8,Harvesting,,,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,
FS1256,Plocrapol,The Scottish Salmon Company,FB0169,4.3,Cleanerfish,,4.1,,,5.1,,,5.75,,,4.98,Bath,,2.62,,,no count,,,3.08,,,4.05,Physical,,4.1,,,1.35,Physical,,1.57,Bath,,1.87,,,2,,,1.6,,,1.7,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1262,Sgeir Dughall,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,3.86,,,3.96,,,2.62,,,1.32,Physical,,1.2,,,4.52,Harvesting,,3.85,Harvesting,,1.2,Bath,,3,Harvesting,,3.4,,,2.9,Physical,,no count,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1277,Reibinish,The Scottish Salmon Company,FB0169,4.7,,,no count,,,6.91,,,1.92,Bath,,6.23,,,3.32,,,2.1,,,..,,,4.92,,,4.15,,,4.85,Physical,,3.15,,,2.03,,,2.99,,,3.06,,,2.6,,,4.95,,,5.53,,,3.87,Harvesting,,6.59,,,5.05,,,4.6,Physical,,3.33,Harvesting,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1282,Greanamul,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,,3.49,,,,,,5.82,Bath,,2.32,Physical,,1.06,,,,,,4.98,Bath,,no count,,,9.24,,,2.9,,,5.04,Harvesting,,1.43,Physical,,2.26,,,0.72,,,2.25,,,6.26,Bath,,5.22,,,2.82,,,no count,,,3.74,Harvesting,,3.62,Harvesting,,3.48,Harvesting,,>3<8,Harvesting,,no count,,,3.3,,,no count,,,3.85,,,,,,no count,Harvesting,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,
FS1293,Scadabay,The Scottish Salmon Company,FB0169,,,,3.78,,,no count,Harvesting,,4.04,,,5.7,Bath,,no count,,,6.73,,,3.25,Harvesting,,no count,Physical,,7.1,Harvesting,,no count,Harvesting,,3.88,Bath,,no count,Harvesting,,no count,Harvesting,,,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1304,Maragay Mor,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,Bath,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1267,Gometra,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>3<8,Harvesting,,<3,,,<3,,,<3,,
FS1118,Trilleachan Mor,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>3<8,,,>3<8,Physical,
FS0593,Inch Kenneth,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>3<8,Physical,,<3,,
FS0033,Dury Voe,Scottish Sea Farms Ltd,FB0125,7.25,Physical,,<CoGP,,,,,,,,,,,,,,,,,,,,,5.26,Bath,,4.11,,,3.64,Physical,,4.71,,,4.66,,,,Physical,,2.48,,,3.16,,,5.2,,,no count,Bath,,no count,Bath,,7.97,,,15.43,Bath,,22,,,15.34,Physical,,no count,Physical,,no count,,,5.51,,,3.98,,,5.54,,,no count,,,4.62,,,3.3,,,6.2,,,4.9,,,6.6,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,Harvesting,,,Harvesting,,,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,
FS0183,South Sound,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,3.25,Bath,,2.97,,,0.11,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0359,Kempie Bay,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,3.4,In Feed,,5.6,In Feed,,2.6,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,Bio Reduction,,no count,Bath,,no count,,,no count,,,no count,,,no count,,,EoC,EoC,Eoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0361,Sian Bay,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,4.39,In Feed,,7.29,In Feed,,3.43,Bath,,4.98,,,3.22,,,5.82,,,6.14,,,5.7,,,6.68,,,6.78,,,7.55,,,7.9,,,2.02,Physical,,2,Physical,,2,,,7.23,Bio Reduction,,7.02,Bath,,7.91,Harvesting,,7.84,Harvesting,,7.43,Harvesting,,6.8,,,no count,,,no count,,,no count,,,no count,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0400,Snaraness,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,no count,In Feed,,no count,,,no count,Physical,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0616,Nevis B,Scottish Sea Farms Ltd,FB0125,,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0699,Loura Voe,Scottish Sea Farms Ltd,FB0125,no count,,,<CoGP,Physical,,,,,,,,,,,,,,,,,,,,,,,3.52,,,4.25,Physical,,3.47,,,5.19,,,,Physical,,0.53,,,,,,,,,,,,,,,4.2,,,8.28,Bath,,8.9,,,10.74,Physical,,1.73,Physical,,no count,,,3.2,,,2.4,,,,,,no count,,,,,,2.6,,,3.4,,,4,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,Harvesting,,,,,,,,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,
FS0709,Kishorn A (South),Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,Bath,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,
FS0749,Holms Geo,Scottish Sea Farms Ltd,FB0125,3.2,,,5.08,,,6.98,Physical,,0.31,,,,,,,,,,,,,,,4.15,,,4.72,Bath,,7.03,Physical,,,,,6.38,,,,,,,,,2.6,,,,Bath,,6.51,,,7.97,,,7.45,Bath,,no count,,,no count,,,no count,,,no count,,,3.56,,,no count,,,no count,Harvesting,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0804,Kishorn B (North),Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Physical,,no count,Harvesting,,4.2,Harvesting,,3.9,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,
FS0936,Foreholm,Scottish Sea Farms Ltd,FB0125,4.68,,,no count,,,<CoGP,,,,,,,,,,,,,,,,,,,,,4.12,,,4.28,Bath,,5.86,,,5.98,,,4.98,,,5.24,,,4.46,,,6.17,,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,,Harvesting,,,Harvesting,,,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1093,Teisti Geo,Scottish Sea Farms Ltd,FB0125,<CoGP,,,,In Feed,,1.03,,,,,,2.4,,,5.69,,,8.76,,,11.43,,,no count,,,18.37,Physical,,,,,,,,2.05,,,no count,,,no count,,,4.34,,,4.64,Bath,,2.82,Bath,,4.24,,,7.45,Bath,,no count,,,no count,Physical,,no count,,,no count,,,2.5,,,no count,,,no count,Harvesting,,,,,no count,,,,,,no count,,,no count,,,no count,,,no count,,,,,,,,,,,,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1274,Kishorn West,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,Physical,,no count,Harvesting,,3.8,Harvesting,,4.1,Harvesting,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,
FS0694,Fishnish (B),Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,,,3.48,,,,,
FS0427,Fishnish (A),Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,,,4.61,,,,,,,,
FS0016,Loch Alsh (Sron),Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,<3,,,<3,,,4.48,,,9.49,,,8.97,,,7,,,10.84,,Breach,4.56,,,4.29,,,<3,,,,,,,,,,,
FS0212,Invasion Bay,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,3.33,,,3.12,,,3.93,,,5.34,,,4.61,,,<3,,,<3,,,<3,,,,,,,,,,,,0.2,,,0.63,,
FS0240,Linnhe,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,4.1,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0241,Kingairloch,Marine Harvest (Scotland) Ltd.,FB0119,3.1,,,,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0252,Cairidh,Marine Harvest (Scotland) Ltd.,FB0119,4.4,,,<3,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,3.01,,,<3,,,<3,,,3.2,,,4.85,,,<3,,,5.48,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0519,Maol Ban,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,,<3,,,<3,,,<3,,,3.51,,,<3,,,<3,,,<3,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0531,Ornish Island,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,3.5,Cleanerfish,,no count,Cleanerfish,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0629,Poll Na Gille,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,<3,,,<3,,,3.59,,,7.45,,,5.09,,,4.37,,,1.28,,,<3,,,,,,,,,,,,,,,,,
FS0646,Soay,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,2.09,,,3.03,Bath,,3.18,Bath,,3.96,,,3.65,Bath,,3.12,,,<3,,,3.24,,,<3,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0805,Bagh Dail Nan Cean,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,4.53,,,7.01,,,4.94,,,7.52,,,3.43,,,4.66,,,7.9,,,14.03,,,9.48,,,7.68,,,<3,,,,,,,,,,,
FS0859,Port Na Cro,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,3.02,,,<3,,,<3,,,7.5,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1033,North Shore,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<3,,,<3,,,3.91,,,<3,,,<3,,,<3,,,,,,,,,<3,,,4.67,,,<3,,,3.56,,,<3,,,no count,,,8.06,,,1.67,,,<3,,,<3,,Breach,1.17,,,3.52,,,0.42,,,1.3,,
FS1083,Groatay,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,<3,,,3.2,,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1176,Eilean Grianain,Marine Harvest (Scotland) Ltd.,FB0119,3.4,Bath,,3.5,Bath,,3.4,,,no count,,,5.56,Bath,,4.79,Bath,,5.67,Bath,,4.6,,,4.96,Bath,,3.96,Bath,,3.96,Bath,,3.34,,,3.95,Bath,,<3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1259,Stulaigh,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,3.6,,,,,,2.6,,,3.63,,,2.36,,,no count,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1261,Hellisay,Marine Harvest (Scotland) Ltd.,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,,,3.35,,,4.69,,,<3,,,4.11,,,<3,,,<3,,,<3,,,4.56,,,<3,,,4.81,,,4,,,0.18,,,,,,,,,,,,,,,,,,<3,,,3.78,,,3.36,BATH,,,Bath,,<3,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
