FS0617,Loch Tuath,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,≥3<8,,,<3,,,<2,,,<2,,,<2,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0570,Strome,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,Physical,,<2,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1282,Greanamul,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,≥3<8,,,no count,,,3.85,,,<2,,,,,,5.2,Physical,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0593,Inch Kenneth,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,≥3<8,,,<2,,,<2,,,<2,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0594,Aird,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,Physical,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1262,Sgeir Dughall,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,Physical,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0336,Druimyeon Bay,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,Cleanerfish,,<2,,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0851,Ardgadden,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0423,Lamlash,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,Harvesting,,no count,Harvesting,,,Harvesting,,EoC,EoC,Eoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0839,Geasgill,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,,2.13,,,,,,,,,,,,,,,,,
FS1118,Trilleachan Mor,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,Cleanerfish,,<2,,,2.15,In Feed,,2.6,In Feed,,,,
FS0242,Loch Odhairn/Gravir,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,,,,Physical,,,,,,,
FS1010,East Tarbert Bay,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,,,EoC,EoC,EoC,,,,,
FS1121,"Bight of Bellister, Dury Voe",Scottish Sea Farms Ltd,FB0125,no count,,,,,,,Physical,,3.81,Physical,,<CoGP,Physical,,,,,,,,,,,,,,,,,3.69,,,4.86,,,6.09,,,5.91,,,no count,Physical,,no count,Physical,,1.39,,,,,,4.24,Bath,,no count,Physical,,0.3,,,,,,,,,2.86,Physical,,3.9,Destocking,,no count,Destocking,,3.4,Destocking,,2.85,,,3.94,,,3.84,Destocking,,0.78,,,3.44,Destocking,,3.36,Destocking,,3.1,Harvesting,,3.9,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0749,Holms Geo,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,3.88,,,4.33,,,no count,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,Destocking,,2.8,Destocking,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0033,Dury Voe,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,,,no count,Bath,,4.26,,,4.68,,,no count,Physical,,no count,Physical,,1.18,,,,,,4.68,Bath,,7.54,Bath,,no count,Physical,,3.9,,,5.7,,,5.96,,,no count,Physical,,no count,Physical,,1.25,,,,,,3.1,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0699,Loura Voe,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,,,7.68,,,no count,Physical,,no count,Physical,,2.13,,,,,,3.13,Bath,,6.99,Bath,,no count,Physical,,5.6,,,5.8,,,5.97,,,no count,Physical,,no count,Physical,,0.75,,,,,,2.35,,,2.79,,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1093,Teisti Geo,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,2.82,,,5.5,,,0.5,,,,,,4.92,,,5.67,,,5.29,Destocking,,no count,Physical,,2.23,Harvesting,,1.6,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0359,Kempie Bay,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,Destocking,,no count,Destocking,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0546,Nevis C  (Ardintigh),Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,Destocking,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1274,Kishorn West,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,no count,Physical,,no count,Physical,,1.31,,,,,,2.59,Cleanerfish,,1.93,,,2.02,Cleanerfish,,1.63,,,2.43,Physical,,3.36,Physical,,0.52,,,2.1,Cleanerfish,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0804,Kishorn B (North),Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,,1.61,Physical,,,,,2.72,In Feed,,6.36,Harvesting,,6.89,Harvesting,,5.73,Harvesting,,no count,Harvesting,Advisory Letter,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0183,South Sound,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,Physical,,4.62,Physical,,3.75,,,5.4,,,no count,Physical,,0.16,,,,,,2.06,Physical,,4.69,Physical,,no count,Physical,,2.3,Physical,,4.57,Cleanerfish,,5.1,Cleanerfish,,4.9,Destocking,,,,,,,
FS0608,Vidlin North,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,Physical,,5.86,Physical,,0.56,,,,,,,,,,,,,,
FS1263,Raineach,Mowi Scotland Ltd,FB0119,3.18,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0865,Marulaig Bay,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,<3,Harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0531,Ornish Island,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,≥3<8,,,<2,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68,Harvesting,,no count,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0859,Port Na Cro,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,1.55,,,1.76,,,1.12,,,1.45,,,,,,,,,,,,,,,2.64,Physical,,0.87,,,,,,,,,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,
FS0602,Sconser,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,0.96,,,1.89,,,0.79,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0356,North Moine,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,Bath,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1033,North Shore,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,0.31,,,0.43,,,2.49,,,2.02,Physical,,no count,,,5.66,Bath,,3.33,,,1.55,,,3.22,Physical,,no count,,,2.79,Physical,,0.82,,,,,,,,,2.57,Physical,,0.77,,,2.55,,,,Bath,,,,
FS1261,Hellisay,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,1.67,,,1.82,,,2.7,,,4.53,,,3.87,,,4.53,,,4.84,,,,,,,,,2.03,Harvesting,,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,
FS1330,Sconser Quarry,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,Physical,,0.57,,,,,,,,,5.2,Physical,,5.77,Physical,,no count,,,8.2,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,
FS0413,Camas Glas,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,,,2.11,Physical,,1.2,,,,,,4.09,Physical,,5.77,Physical,,no count,,,3.42,Bio Reduction,,2.04,,,0.74,,,,,,,,,,,,,,,,,,,,
FS0805,Bagh Dail Nan Cean,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.64,Harvesting,,3.56,Harvesting,,1.64,,,no count,,Advisory Letter,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0629,Poll Na Gille,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,Physical,,1.58,,,,,,2.95,Harvesting,,no count,Harvesting,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,
FS0247,Loch Harport,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,,,3.8,Bio Reduction,,2.45,Bio Reduction,,3.87,Bio Reduction,,4.35,Bio Reduction,,4.55,Bio Reduction,,2.86,Harvesting,,2.06,Harvesting,,1.42,Harvesting,,,Harvesting,,,,,,,,,,
FS1297,Tabhaigh,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,no count,Bath,,2.74,Bath,,0.61,,,0.63,,,EoC,EoC,EoC,,,,,,,,,,,,,,,
FS1291,Caolas A Deas,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,,3.9,,,8.36,Physical,,1.48,,,2.21,Physical,,0.64,,,,,,2.13,Bath,,0.35,,,,,,,,,,,
FS0212,Invasion Bay,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,,1.1,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0245,Ardintoul,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,,1.8,,,,,,,,,,,,,,,,,,,,
FS0599,MacLean's Nose,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,no count,,,3.39,,,0.67,,,,Physical,,,,
FS0605,Creag an T'Sagairt (Loch Hourn),Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,no count,Bath,,2.58,,,2.55,,,no count,Harvesting,,,,,,,
FS0016,Loch Alsh (Sron),Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,Physical,,0.94,,,,,,,,,,,,,,,,,
FS0248,Loch Duich,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,Physical,,1.36,,,,,,,,,,,,,,,,,
FS1290,Shuna SW (Rubh'an Trilleachain),Kames Fish Farming Ltd,FB0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,0.46,,,1.21,,,4.54,,,,,,,,,3.81,Physical,,,,,,,,12.2,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0465,Shuna Castle,Kames Fish Farming Ltd,FB0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0515,North Papa,Grieg Seafood Shetland Ltd,FB0440,1.83,,,,,,,,,,,,3.23,,,1.35,Physical,,0.95,,,0.88,,,2.1,,,5.5,,,2.05,Physical,,3.45,,,2.73,,,5.98,,,3.75,,,6.1,Physical,,0.68,,,,,,,,,,,,,,,,,,4.88,Bath,,2.45,,,4.05,,,5.15,,,4.05,,,2.8,Bath,,5.4,Harvesting,,no count,Harvesting,,no count,Harvesting,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0433,Langa Isle (East),Grieg Seafood Shetland Ltd,FB0440,no count,,,3.93,,,5.13,,,5.41,Physical,,0.88,Physical,,,,,,,,,,,,,,3.87,Physical,,no count,,,2.14,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,5.68,,,5.28,,,5.64,Physical,,2.66,,,3.42,,,5.24,,,1,Physical,,3.05,,,3.41,Physical,,1.16,,,2.94,,,7.88,Bath,,1.2,,,3.47,,,no count,,Advisory Letter,0,Bath,,,,,,,,EoC,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
