,,,,Week 1,,,,Week 2,,,,Week 3,,,,Week 4,,,,Week 5,,,,Week 6,,,,Week 7,,,,Week 8,,,,Week 9,,,,Week 10,,,,Week 11,,,,Week 12,,,,Week 13,,,,Week 14,,,,Week 15,,,,Week 16,,,,Week 17,,,,Week 18,,,,Week 19,,,,Week 20,,,,Week 21,,,,Week 22,,,,Week 23,,,,Week 24,,,,Week 25,,,,Week 26,,,,Week 27,,,,Week 28,,,,Week 29,,,,Week 30,,,,Week 31,,,,Week 32,,,,Week 33,,,,Week 34,,,,Week 35,,,,Week 36,,,,Week 37,,,,Week 38,,,,Week 39,,,,Week 40,,,,Week 41,,,,Week 42,,,,Week 43,,,,Week 44,,,,Week 45,,,,Week 46,,,,Week 47,,,,Week 48,,,,Week 49,,,,Week 50,,,,Week 51,,,,Week 52,,,,Week 53,,,
Site No.,Site Name,Business Name,Business No.,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action
FS1175,Gob na Hoe,Isle of Skye Salmon Limited,FB0577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,,3.18,Bio Reduction,Fish being moved to another site also being treated with salmosan,,2.33,,,,2.21,,,,,Bath,Salmosan,,0.66,In Feed,,,,,,,,,,,2.15,,,,3.2,,,,0.3,Bath,fresh water,,,,,,,,,,2.37,,,,4.19,,,,4.61,,,,4.41,,,,no count,Bath,salmosan  ,,0.7,,,,,,,,2.73,,,,4.12,,,,3.97,,,,4.68,Physical,Optilicer,,2.93,Physical,Optilicer,,4.95,Bath,Salmosan,,2.09,Bath,Salmosan,,<2,,,,no count,Harvesting,poor weather,
FS1267,Gometra,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,2.2,,Mechanical treatment planned,,no count,,No count carried out due to weather,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0237,Gorsten,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,Physical,Thermolicer,,1.93,,,
FS1282,Greanamul,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,Physical treatment planned but delayed due to weather,,<2,,,,2.6,,,,5.08,Physical,,,<2,Physical,,,,,,
FS1122,Grey Horse Channel,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,Bath,Fresh water,,2.89,,,,2.48,Bath,FW bath planned,,6.44,Bath,Salmosan. ,,3.62,Bath,H2O2,,5.18,Bath,H2O2 treatment. CF also on site,,3.43,Cleanerfish,,Advisory Letter,no count,Cleanerfish,,,no count,,count not done due to bad weather,,no count,Harvesting,,,no count,Harvesting,,EN,,,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,
FS1334,Grey Horse Channel Outer,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,,,,2.28,Bath,H2O2,,no count,,,,2.55,Cleanerfish,,,no count,,no count carried out due to weather,,no count,,count not done due to bad weather,,no count,Harvesting,,,no count,Harvesting,,,,,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,
FS1083,Groatay,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,Harvesting,,,no count,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1261,Hellisay,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,Bath,Freshwater,,3.91,Bath,freshwater,,2.16,Bath,FW treatment,,1.51,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,1.86,Physical,Thermolicer planned,,,,,,,,,,,,,,5.04,Physical,,,3.73,Physical,,,no count,,count not done due to bad weather,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,,,,,no count,Harvesting,,,no count,Harvesting,,,no count,,Unable to carry out counts either due to harvesting or bad weather,,no count,,Unable to carry out counts either due to harvesting or bad weather,,no count,Harvesting,,
FS0749,Holms Geo,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,Physical,Delicing scheduled,
FS0212,Invasion Bay,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,2.03,Cleanerfish,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,Harvesting,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,5.1,Harvesting,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1084,Isle Ewe,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0241,Kingairloch,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,,,5,Physical,Thermolicer,,5.1,Physical,Thermolicer,,4.94,Physical,Thermolicer,,6.7,Physical,Hydrolicer,
