,Farm,version,iteration,count_mu,sum_in,sum_out,Fself,Edays_in,Edays_out,Edays_self,ncages
79,8,f3,3,0.0483941934359,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
80,9,f3,3,0.0431844009554,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
81,1,f3,4,0.051483215811199995,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
82,2,f3,4,0.11418131828500001,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
83,3,f3,4,0.06429690513780001,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
84,4,f3,4,0.0353176534674,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
85,5,f3,4,0.061935402849900005,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
86,6,f3,4,0.052213987472099994,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
87,7,f3,4,0.0641899138703,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
88,8,f3,4,0.05009065271430001,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
89,9,f3,4,0.04517015552680001,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
